Unnamed: 0	clicked_news	category	subcategory	title
1685	N65	No category	No subcategory	Fv 30, Mosenget, Os
1716	N66	No category	No subcategory	E6 Berkåk
1784	N67	pluss	okonomi	Millionærdrømmen må starte med en genial idé
1858	N68	No category	No subcategory	E6 Hjerkinn
1899	N69	No category	No subcategory	E6, Melhus
1915	N70	No category	No subcategory	E39 Hemnekjølen
1943	N72	No category	No subcategory	Historiske trøndelagsbilder: Her må de løfte vekk bilen når trikken kommer
1967	N73	No category	No subcategory	Oppdal flyplass, Fagerhaug
2142	N75	No category	No subcategory	Høye ambisjoner går ikke hvis du skal spare på sykehus
2193	N76	sortrondelag_nyheter	No subcategory	Gunn Røstad har fått ny jobb
2325	N79	trondheim_nyheter	No subcategory	Tomine fra Trondheim er årets nyttårsbarn
2681	N85	trondheim_nyheter	No subcategory	Hva gjør restaurantene Frati og Bari i en romantisk amerikansk julefilm?
2675	N87	No category	No subcategory	Trondheim, fra havna mot Pirbadet
2777	N88	100sport	sjakk	Carlsen med tirade på direkten: - Dummeste jeg har sett!
23344	N92	trondheim_nyheter	No subcategory	- Hold hunden i bånd, uansett om det er båndtvang eller ikke
3343	N97	pluss	magasin	Ja takk til trøbbel
3418	N98	No category	No subcategory	Her er de 20 beste filmene i 2016
3493	N99	trondheim_nyheter	No subcategory	- Vi har ikke penger til nye klær og julegaver til barna
3585	N100	No category	No subcategory	Fv715, Momyr
3827	N103	pluss	nyheter	Annonser fra martnan 1965: «Virkelig noe nytt for Trondheims-damene»
3952	N104	No category	No subcategory	E6 Snåsa
4015	N107	No category	No subcategory	Innsmoen, Verdal
4065	N108	trondheim_nyheter	No subcategory	Her er den nye domprosten i Nidaros
4076	N109	No category	No subcategory	Fv755 Meltingen
4108	N110	No category	No subcategory	Her var det sommertemperaturer i natt
4135	N111	okonomi_nyheter	No subcategory	Hurtigruten bygger to nye hybridskip
4162	N112	pluss	magasin	«Alle» møttes på Bristol conditori
4251	N113	pluss	kultur	Det var 16 kuldegrader i Trondheim, men det var ikke kulden som bekymret innbyggerne
4266	N114	pluss	magasin	«Deilig er jorden» fikk en helt ny betydning i jula
4317	N115	No category	No subcategory	Ekstremværet Urd på vei mot Sør-Norge
4470	N117	100sport	fotball	Demidovs personlige hilsen: Nå tar han endelig farvel med Brann
4916	N126	vaeret	klima	Denne grafen gjør klimaforskerne meget urolige
4943	N127	100sport	sjakk	Ekspert satt ut av Carlsen: - Jeg tenkte «hva er dette for noe rør?»
4955	N128	pluss	nyheter	Superbussdrift om vinteren kan bli et nytt pengesluk
5341	N131	100sport	fotball	RBK-spillernes elleville Bakenga-veddemål
5415	N133	No category	No subcategory	Arve Tellefsen 80 år
5708	N136	trondheim_nyheter	No subcategory	Lastebil sklei rett inn i en hage
5740	N137	100sport	sprek	Ny forskning: Her er idrettene som er best for hjertet
5912	N139	No category	No subcategory	«Kongens nei» er uanstendig
6415	N145	100sport	fotball	Bekreftet: Nå er han ferdig i Rosenborg
6657	N150	No category	No subcategory	Kontakt redaksjonen
6696	N151	trondheim_nyheter	No subcategory	Regnværet stoppet ikke de ivrigste
6981	N156	okonomi_nyheter	No subcategory	Robot i klasserommet
7110	N158	sortrondelag_nyheter	No subcategory	Slik skal du kjøre i rundkjøringer
7409	N163	No category	No subcategory	Fv714 Hitra
7482	N164	okonomi_nyheter	No subcategory	Sparebank 1 SMN setter tak på hvor mye du får låne
7563	N166	100sport	sjakk	Carlsen tilkalte dommeren etter dramatisk tap for Karjakin
7565	N167	pluss	okonomi	Nå styres et oljefelt fra Torget i Trondheim
7615	N168	trondheim_nyheter	No subcategory	- Vi kan ikke akseptere at han deltar i slike grupper
7727	N170	No category	No subcategory	Minneord: Ørnulf Roar Øyen
7798	N171	No category	No subcategory	Økt vrakpant skal få fart på salget av elektriske varebiler
8212	N177	pluss	nyheter	Nå blir det enda mer bråk om vinterparken
8304	N179	sortrondelag_nyheter	No subcategory	Vil fortsette med bompenger etter at denne veien er nedbetalt
8531	N182	trondheim_nyheter	No subcategory	Jarbel skrev epost full av Åge-låter. Se hva BN bank svarte
8612	N183	No category	No subcategory	Tesla kan ødelegge for ladbare hybrider
8656	N185	trondheim_nyheter	No subcategory	Politiet bekymret for ny MC-klubb i Trondheim
8788	N189	trondheim_nyheter	No subcategory	- Saltet ødelegger syklene og vinterføret
8963	N190	tema	arets tronder	Se hvem som er foreslått til Årets trønder
8970	N191	okonomi_nyheter	No subcategory	Banktopp kjøpte bolig til 11,5 millioner
9253	N195	trondheim_nyheter	No subcategory	Frykter feilinformasjon om HPV-vaksinen
10301	N205	No category	No subcategory	Våvatnet, Orkdal
9844	N209	pluss	magasin	Bilder fra arkivet: Her herjer uvær og storm med Trøndelag
9902	N211	okonomi_nyheter	No subcategory	Magnus Reitan går av som kiosksjef
889810	N214	okonomi_nyheter	No subcategory	Får millionene til å yngle
10181	N216	trondheim_nyheter	No subcategory	Trøndersk ABC
10296	N218	okonomi_nyheter	No subcategory	Reinertsen ber om gjeldsforhandlinger
10480	N222	trondheim_nyheter	No subcategory	- Vanskelig å finne venner i Trondheim
10822	N227	sortrondelag_nyheter	No subcategory	Midnattsfyrverkeri avlyst
10907	N229	No category	No subcategory	Skansen småbåthavn, Trondheim
11050	N231	No category	No subcategory	«Kæm har veilta cola i spriten min, nå svineri har havna i heimertn min»
91294	N233	kultur	tv	Tonje skal forsvare trøndernes ære i «Kjendis-Farmen»
11453	N237	trondheim_nyheter	No subcategory	Startet det nye året med fyrverkerishow
20697	N244	pluss	nyheter	Hun blir ny oppvekstdirektør
12121	N245	No category	No subcategory	Debbie Reynolds er død – dagen etter datteren
12300	N250	trondheim_nyheter	No subcategory	Slik lager du perfekt lutefisk
12544	N252	trondheim_nyheter	No subcategory	Her tar (nesten) alle influensavaksinen
12618	N253	pluss	nyheter	- Pensjonskuttene er totalt uakseptable
12689	N255	sortrondelag_nyheter	No subcategory	Olav den helliges kirke på arkeologisk toppliste
13152	N263	pluss	nyheter	Noen jubler for regnværsjul
13155	N264	trondheim_nyheter	No subcategory	Her trener du billigst i Trondheim
13321	N266	No category	No subcategory	Disse trondheimsrestaurantene er blant Nordens beste
13459	N268	trondheim_nyheter	No subcategory	Safe-tyven ble tatt på fersken av hotelldirektør
13585	N270	sortrondelag_nyheter	No subcategory	Rolf (22) etterlyser venner via Facebook
13594	N271	No category	No subcategory	Gråura, Sunndal
13661	N272	okonomi_nyheter	No subcategory	Brukbar/Blæst slår seg selv konkurs
14074	N279	No category	No subcategory	- Rimelig vikar, ikke sant!
14101	N280	No category	No subcategory	Emma og William på navnetoppen
14229	N282	trondheim_nyheter	No subcategory	- Blod og oppkast er det verste
14262	N283	nordtrondelag_nyheter	No subcategory	- Aldri tatt en prostituert med så mye penger
14300	N284	trondheim_nyheter	No subcategory	Laveste vekst i innbyggere på over ti år i Trondheim
15010	N290	pluss	magasin	Gammel avisreklame: «En pike skal lukte godt også når hun er alene»
15119	N291	pluss	okonomi	Stenger butikken i Midtbyen etter 26 år
15176	N293	trondheim_nyheter	No subcategory	Dette tyvegodset mistenker politiet er fra innbruddene i Trondheim
15457	N296	meninger	ordetfritt	Noe så inn i gamperæva elendig har jeg ikke vært med på før
15927	N301	pluss	magasin	Disse rådene gir eldre fra fem verdensdeler til dagens unge
15972	N303	100sport	fotball	For fem år siden sluttet Magne med heroin. Det skal en av Norges rikeste menn ha en del av æren for.
489179	N306	sortrondelag_nyheter	No subcategory	Aldri før har så mange reist kollektivt i Sør-Trøndelag
16707	N315	pluss	nyheter	- Vi har pakket sammen et liv i Trondheim, og startet en ny hverdag
16985	N318	No category	No subcategory	Adresseavisens rettigheter
233852	N319	trondheim_nyheter	No subcategory	Tipser om enkle studiepoeng på NTNU
17177	N320	trondheim_nyheter	No subcategory	- Mann truet og slo med øks på Heimdal
17195	N321	No category	No subcategory	Hvorfor sier vi til alle de skoleflinke ungdommene at de må velge realfag?
17270	N322	okonomi_nyheter	No subcategory	Magnus Reitan selger rekorddyr fritidsleilighet
17519	N326	dokument_nyheter	No subcategory	En atombombe over Trondheim
17595	N327	pluss	magasin	Snåsamannen: - Det er det som har gitt meg styrke i livet, at jeg fikk disse evnene og fikk møte så mye folk.
17975	N334	pluss	nyheter	Øya-beboere vil ikke ha «Dora 3» i nabolaget
18120	N335	No category	No subcategory	Dette er noen av verdens kuleste passtempler
18633	N346	No category	No subcategory	Siktet om voldssak: - Ville bli slått i hodet med flaske
18666	N347	pluss	okonomi	- Det er for mange puddinger blant norske sjefer
19808	N363	No category	No subcategory	Slik blir været resten av måneden
19818	N364	pluss	meninger	Tre kvinner i spissen for samene
20543	N377	trondheim_nyheter	No subcategory	Politiet har avsluttet leting på Risvollan
20609	N380	100sport	sprek	Her er trikset for at ikke kroppen skal forfalle når du passerer 40
20614	N381	kuriosa_nyheter	No subcategory	Påskens store krim-quiz
20743	N383	sortrondelag_nyheter	No subcategory	Nødbluss sendt gjennom vindu startet branntilløp
451861	N393	innenriks_nyheter	No subcategory	Dette bør du ikke spise etter holdbarhetsdatoen
21500	N398	trondheim_nyheter	No subcategory	Åpenbart beruset mann i trafikkulykke på Byåsen
21640	N399	pluss	meninger	Fem ting vi bør tenke annerledes om i 2017
21779	N401	sortrondelag_nyheter	No subcategory	Så dyrt blir det å kjøre på rødt
22644	N407	trondheim_nyheter	No subcategory	- Vent med nettdating og turer på byen
23163	N411	pluss	meninger	Uførereformen er en katastrofe for mange
23252	N412	innenriks_nyheter	No subcategory	Hurtigruten endrer avgangstider
23711	N418	No category	No subcategory	Derfor skal du slå deg til ro med å være helt vanlig
23720	N419	pluss	nyheter	Åpner unik restaurant i «ny» bydel i Trondheim
23834	N420	pluss	nyheter	Atb måtte utsette anbudskonkurranse for omlegging av busstilbudet i Trondheim
23922	N421	pluss	okonomi	Har kartlagt også seg selv
24286	N422	trondheim_nyheter	No subcategory	Se hva folk sikret seg da Britannia-møblene ble lagt ut for salg
25504	N436	innenriks_nyheter	No subcategory	Et SAS-fly fra Tromsø nødlandet på Værnes
26175	N439	pluss	okonomi	Her kan det komme 180 nye boliger
26440	N441	No category	No subcategory	Apple tilbakekaller Ipad-ladere
26584	N442	sortrondelag_nyheter	No subcategory	Bil havnet på taket i Buvika
26644	N443	pluss	okonomi	Her er de viktigste økonomi-nyhetene i år på fem minutter
27236	N445	100sport	vintersport	Northugs svenske erkerival med stikk mot Norge
27507	N447	pluss	kultur	Dette var den mest populære butikken i Trondheim for 98 år siden
27540	N448	trondheim_nyheter	No subcategory	Hunden «Bjarne» er funnet
28979	N450	pluss	magasin	Historiske trondheimsbilder: Her har de gått tom for ribbe
29316	N454	100sport	sprek	Ny studie: En håndfull nøtter om dagen kan redde liv
31068	N457	No category	No subcategory	Ståle solgte 24 bilder til 1250 kroner stykket – usett
29633	N458	100sport	fotball	Vraker IFK Gøteborg - går for Rosenborg
32460	N482	No category	No subcategory	Canal Digital og Get varsler dyrere bredbånd for kabelkutterne
32546	N484	No category	No subcategory	Her er syv kjøretips på vakre veier i Norge
33033	N488	trondheim_nyheter	No subcategory	Lysfest i Trondheim i natt
34383	N497	innenriks_nyheter	No subcategory	Venter superfullmåne i midten av november
34862	N500	pluss	magasin	Historiske bilder: Bakklandet
35140	N502	No category	No subcategory	Fra klokken 11.44 går det mot lysere tider
549000	N505	pluss	nyheter	- En stille matematikktime er litt katastrofe
36132	N507	No category	No subcategory	Derfor vil Gina Halvorsen (32) heller leie enn eie bolig
36851	N513	No category	No subcategory	Karis beste
36868	N514	pluss	meninger	Hvis politikerne gjør som de sier, kan denne bydelen bli en idyll
37092	N517	No category	No subcategory	De skulle bare pusse opp et bad og et kjøkken...
37239	N518	pluss	okonomi	Midt-Norges eneste nettbutikk for mat tjener ikke penger - ennå
38131	N526	100sport	sprek	Da Nauy (33) våknet opp fra heroinoverdosen, var beinet borte
39232	N537	No category	No subcategory	Minneord: Tove Kari Viken
39505	N539	trondheim_nyheter	No subcategory	Nå blir dette dobbelt så dyrt
40139	N545	100sport	vintersport	I fjor ble han syk i julen: Slik sørger Bjørndalen for at historien ikke gjentar seg
40315	N546	pluss	magasin	Kos deg med disse herlige gamle kjøretøyene
40838	N554	trondheim_nyheter	No subcategory	- Rømte i ren Olsenbanden-stil
41947	N560	No category	No subcategory	Minneord: Camilla Østnor
42776	N567	trondheim_nyheter	No subcategory	Jens Fredrik (10) savner lekekameraten Bowie
42947	N569	pluss	okonomi	- 4,2 enheter alkohol i uka? De bløffer!
43042	N571	No category	No subcategory	Brøset-floka ennå ikke løst, slik sykehuset fryktet
168246	N577	No category	No subcategory	Test av treningsklokker: Lyst på treningsklokke eller aktivitetsarmbånd?
43401	N578	No category	No subcategory	Slik får småbarnsforeldre mer overskudd
54897	N580	trondheim_nyheter	No subcategory	8 tips til aktiviteter for barnefamilier
43801	N581	No category	No subcategory	Nå gjelder de nye reglene for røykvarslere
44013	N585	No category	No subcategory	Ti ting det er på tide å bli kvitt
44260	N588	pluss	magasin	Den gamle skøytekongen
44837	N595	pluss	meninger	Her er årets heteste debatter og tre ord som får fart på samtalen i et kjedelig juleselskap
45045	N597	pluss	magasin	Dette plagget tok helt av i 1971
45234	N599	100sport	vintersport	To av Russlands største langrennsstjerner utestenges
45661	N604	pluss	nyheter	Vil bygge bybane gjennom nye NTNU
145150	N608	okonomi_nyheter	No subcategory	Leder i katalogselskap blir sittende i fengsel
46159	N610	No category	No subcategory	Test av knekkebrød: Mange sunne alternativer!
46385	N613	trondheim_nyheter	No subcategory	Leter fortsatt etter hunden Bowie etter åtte måneder
46969	N617	okonomi_nyheter	No subcategory	Dette betyr statsbudsjettet for din lommebok
56675	N626	No category	No subcategory	Her er høst-nyhetene fra HBO Nordic
47876	N631	No category	No subcategory	Du må vente lenge på «nye» Top Gear i Norge
47891	N632	No category	No subcategory	- Målet er å finne trønderske artister som kan fylle Sverresborg
48735	N642	adressa noogda_nyheter	No subcategory	Adressa-glimt fra 1963
48923	N643	trondheim_nyheter	No subcategory	Stenger E6 mellom Sandmoen og Klett
48946	N645	No category	No subcategory	Priser og vilkår
49364	N649	nordtrondelag_nyheter	No subcategory	Polart lavtrykk med krafig vind og tett snødrev treffer kysten av Nord-Trøndelag
50922	N668	pluss	nyheter	Fra kulderekord og skillsmisse til storhall og bilpakke
516484	N671	No category	No subcategory	Slik holdt de oppussingsbudsjettet på et minimum
52031	N676	No category	No subcategory	E14 Teveldalen, Meråker
52636	N683	sortrondelag_nyheter	No subcategory	Overlege får refs for journalsnoking
52649	N684	trondheim_nyheter	No subcategory	Han kastet stein mot Rinnans bil
52826	N685	nordtrondelag_nyheter	No subcategory	Norwegian kutter flere ruter fra Værnes
53757	N690	No category	No subcategory	Teknologimagasinet: Julegaven som vil gi deg mye trøbbel å sette opp
53920	N691	No category	No subcategory	Noen som husker Gå-gå-veita?
54050	N695	pluss	magasin	Se bildene fra 15 år med Blæst
54344	N699	pluss	magasin	Se de fantastiske bildene fra signingen i Trondheim
54381	N701	100sport	fotball	Viking-keeper skrev under for Aalesund
54384	N702	No category	No subcategory	Slik lager du bursdagsfesten barna vil snakke lenge om
54557	N705	No category	No subcategory	Fagdirektøre: Pasientsikkerheten står ikke i fare Fylkeslegen: Jo, til tider gjør den det
54685	N709	pluss	magasin	Historiske trondheimsbilder: Her skal de rekke ferja
54699	N710	pluss	magasin	Trondheim før og nå: Da de spilte ishockey i Fjordgata
55071	N715	trondheim_nyheter	No subcategory	Forvillet du deg inn i Hospitalsløkkan var det vanskelig å komme seg ut igjen
55146	N718	okonomi_nyheter	No subcategory	Disse tjente mest i Midt-Norge
55388	N723	pluss	magasin	«Når hun våkner opp, har flyet reist. Uten henne»
1043873	N728	tema	villeveier	Ferjene i Midt-Norge
55598	N729	okonomi_nyheter	No subcategory	Flere tror på bedre privatøkonomi neste år
55624	N730	trondheim_nyheter	No subcategory	Kommunen leier ut til MC-klubber
59497	N733	innenriks_nyheter	No subcategory	E6 på Dovrefjell er åpnet
56496	N743	forbruker	hjem	Edens hage på badet
56947	N749	No category	No subcategory	Nytt og kommende på Netflix
57858	N758	okonomi_nyheter	No subcategory	Åges sønn endret Witzøes lederstil
57896	N761	trondheim_nyheter	No subcategory	Her er byens billigste sushi
870795	N765	100sport	vintersport	– Jeg savner henne alltid når vi ikke er sammen, og det blir enda verre når barnet kommer
58470	N768	pluss	okonomi	Slik blir Ranheims nye bydelssenter
58552	N769	100sport	sprek	Ny forskning: Dropp skrittelleren om du vil ned i vekt
58998	N776	No category	No subcategory	Lonely Planet: Her er de ti beste landene i 2017
59218	N784	No category	No subcategory	De ti beste flyplassene i år
59284	N786	adressa noogda_nyheter	No subcategory	Adressa-glimt fra 1975
59410	N791	100sport	sprek	Er du trøtt, slapp og kjenner søtsuget om vinteren? Her er den enkle løsningen
61654	N795	innenriks_nyheter	No subcategory	Så mye må du ut med hvis du vil kjøre med piggdekk i vinter
636561	N800	trondheim_nyheter	No subcategory	Tok trekilos sjøørret med loff ved Solsiden
59688	N803	adressa noogda_nyheter	No subcategory	Adressa-glimt fra 1977
59819	N809	pluss	magasin	Trondheim før og nå
60116	N817	pluss	magasin	Trondheim bydrift tilbyr kinesisk lunsj
60131	N819	trondheim_nyheter	No subcategory	Dette er en av Trondheims mest populære fastleger
60174	N821	No category	No subcategory	Minneord: Birgit Anita Svendsen
60360	N830	No category	No subcategory	Sjekk doningene som har besøkt Trøndelag
60493	N834	pluss	meninger	Det vi verner i dag, slik som jugendbygningene, vekket i sin tid liten begeistring.
128005	N837	kultur	musikk	Les utdrag fra Åge-biografien
393292	N842	No category	No subcategory	Flere bilprodusenter satser nå på elbiler
60800	N843	No category	No subcategory	Toåring besteg Englands høyeste fjell
60801	N844	adressa noogda_nyheter	No subcategory	Trondheim i vekst på 60/70-tallet
617715	N846	trondheim_nyheter	No subcategory	Dette er Trondheims mest søkte utdanning
61291	N855	adressa noogda_nyheter	No subcategory	Før hadde vi snø i Trøndelag ...
108080	N867	No category	No subcategory	Dette er tidenes beste TV-serier
62177	N870	pluss	magasin	Ser du hvilket band dette er?
62244	N873	sortrondelag_nyheter	No subcategory	Stephen Hawking og stjernegalleri til vitenfestival i Trondheim
62572	N882	pluss	magasin	Her nyter trønderne sola
63055	N897	No category	No subcategory	Stargate varmet opp 90 000 publikummere før Coldplay i Los Angeles
63252	N900	100sport	fotball	Rekordinteresse for Rosenborg
63573	N909	sortrondelag_nyheter	No subcategory	Hva betyr disse sære trønderske ordene?
63655	N911	meninger	ordetfritt	Edru menn står og venter på å tilby sin «hjelp» til sårbare personer, som kommer ut fra utestedene
63753	N916	pluss	magasin	Trondheim før og nå - Del 5.
63982	N924	pluss	kultur	Test: Sjekk hvilken lutefisk som er best
64175	N928	pluss	magasin	Kjenner du igjen denne purunge City Syd-sjefen?
64177	N929	No category	No subcategory	Minneord: Hjalmar Sørli
64237	N934	No category	No subcategory	Pasientene hoper seg opp på akuttmottaket
166412	N940	trondheim_nyheter	No subcategory	- Gruppesex på toalettet er nok den verste historien
64542	N943	100sport	vintersport	Emil Iversen sender bilder til Ustjugov på nettet
64737	N950	pluss	magasin	Disse unike trondheimsbildene har du garantert aldri sett før
64951	N962	pluss	sport	«Det kommer til å gå over. Vi holder på med travhest også om fem år»
65301	N978	sortrondelag_nyheter	No subcategory	I morgen blir det kaffe og boller på stasjonen
65615	N985	trondheim_nyheter	No subcategory	Jubler for mildværet: - Dette er helt uvanlig
65751	N987	kultur	musikk	Høvding i slag
141339	N997	No category	No subcategory	Verdens mest spilte opera inntar Olavshallen
66718	N1000	No category	No subcategory	Gammelt og minimalistisk hjem på 600 kvm
67528	N1010	trondheim_nyheter	No subcategory	Kommandoplassen som tåler alt
68005	N1017	sortrondelag_nyheter	No subcategory	Vil ha bare én kommune på Fosen
68453	N1021	sortrondelag_nyheter	No subcategory	Fire kjørt til sykehus
69106	N1029	100sport	vintersport	Norsk seier i nyttårshopprennet: - For en prestasjon
69627	N1035	okonomi_nyheter	No subcategory	Her er alle boligene solgt i Trondheim i november
69869	N1037	sortrondelag_nyheter	No subcategory	Her laver snøen ned
70641	N1042	pluss	magasin	Historiske bilder: «Alle» skulle gå på ski til Gråkallen
72194	N1052	sortrondelag_nyheter	No subcategory	Henter skredrammede i båt for å dra på konsert med Maria
73996	N1061	trondheim_nyheter	No subcategory	Sjekk hva kjendiskokken vil ha til lunsj 17. mai
364851	N1062	No category	No subcategory	Slik får du vasket huset til jul på under to timer
112402	N1068	No category	No subcategory	De er som Skams Even og Isak i det virkelige liv
74924	N1069	trondheim_nyheter	No subcategory	Luftet «stua» på E6
75152	N1070	okonomi_nyheter	No subcategory	NCC bygger nytt butikksenter på Byåsen
184738	N1079	100sport	sprek	«Alle» skal bli slankere og sprekere på Facebook
79457	N1091	No category	No subcategory	Klarer du å synge Creedence-låter i to strake timer?
80221	N1097	pluss	meninger	Vi som er klimasvin
80222	N1098	No category	No subcategory	- Vi har allerede en stamgjest
80922	N1106	okonomi_nyheter	No subcategory	Tjener rått på dyre klær og sko
83172	N1125	tjenester	bildeserier	60-tallet i bilder
83553	N1128	okonomi_nyheter	No subcategory	Ni trøndere har milliardformue
84625	N1133	pluss	nyheter	Frykter at gode fiskeplasser går tapt til Salmars nye havmerd
661498	N1145	pluss	magasin	Sverre (14) sa aldri noe om at han slet
239138	N1147	forbruker	hjem	Førstehjelp for teakmøbler
86473	N1152	No category	No subcategory	Minneord: Odd Knutsen
88197	N1168	pluss	okonomi	Ser fra kontoret når de små museumsgjestene kommer
88370	N1170	pluss	okonomi	Står over lønningspilsen
88822	N1179	100sport	sprek	Da «Elling»-skuespilleren ble 40 år, skjønte han at han måtte begynne å trene
88830	N1180	pluss	okonomi	De som roper høyest om Birken, skulle blitt med meg for å hugge ved i Hamneslia
89149	N1181	pluss	kultur	Fikk du med deg Bolsø Berdals kanskje heftigste øyeblikk i hele serien?
89179	N1182	sortrondelag_nyheter	No subcategory	Er du klar over hvor mye en kjøretur til Fosen koster?
89428	N1185	okonomi_nyheter	No subcategory	På denne parkeringsplassen skal det bygges 29 leiligheter
555115	N1194	trondheim_nyheter	No subcategory	14 000 i Trondheim får nytt postnummer
91737	N1203	okonomi_nyheter	No subcategory	Kuppet enebolig med høyt bud før visning
91796	N1204	adressa noogda_nyheter	No subcategory	Sjåføren greide ikke svingen før Gamle bybro
92449	N1212	100sport	vintersport	Norges landslagssjef ville ha russisk leder utestengt
93114	N1221	innenriks_nyheter	No subcategory	Færre fyrverkeriskader enn tidligere
93380	N1226	No category	No subcategory	Heidis Bier Bar hadde ikke et snev av Oktoberfestival over seg
93546	N1229	trondheim_nyheter	No subcategory	Iiiiiiiiiskaldt nyttårsbad
93558	N1230	pluss	magasin	Før og nå: St. Olavs pir for 100 år siden
93661	N1233	No category	No subcategory	Rockhus i Dokkparken er det glade vanvidd
93786	N1234	No category	No subcategory	- «Rockhuset» er et veldig godt initiativ
94381	N1243	sortrondelag_nyheter	No subcategory	Fire kommuner danner nye Orkladal
94492	N1245	No category	No subcategory	Tror ikke «Rockhuset» vil kunne fylle vakuumet etter Blæst og Familien
94677	N1249	No category	No subcategory	Jul på Netflix
780281	N1259	okonomi_nyheter	No subcategory	Nå kan du harryhandle godteri på nettet
96540	N1267	No category	No subcategory	Kan du dette tastatur-trikset?
538326	N1272	No category	No subcategory	Verdens korteste internasjonale flyrute har åpnet
96770	N1276	No category	No subcategory	Prøvekjørt: Skoda Superb. Plassmesteren
96808	N1277	trondheim_nyheter	No subcategory	Stopper riving av denne jugendgården
97027	N1282	trondheim_nyheter	No subcategory	Thora Storm har flyttet inn
97251	N1287	100sport	vintersport	Kalla slet med å holde tilbake tårene: – Jeg skal ikke dele alle mine mørke tanker
97570	N1292	adressa noogda_nyheter	No subcategory	Adressa-glimt fra 1968
98165	N1299	helse_nyheter	No subcategory	Her vasker kvinner mens menn dusjer
485515	N1317	No category	No subcategory	- Uvirkelig å få dette bandet til Trondheim
878945	N1323	trondheim_nyheter	No subcategory	Sjekk den bensinprisen
99851	N1325	pluss	okonomi	Dagligvarekjeder i krig om vegetarkundene
790140	N1330	helse_nyheter	No subcategory	Fastleger hever millionlønn
101541	N1342	okonomi_nyheter	No subcategory	Her bor Trondheims rikeste
101983	N1352	No category	No subcategory	Minnes rockens falne helter med full fest
880039	N1354	forbruker	sexogsamliv	SAMLIVSPROBLEMER
102165	N1357	pluss	kultur	- I 16 år har vi prøvd å tjene penger på Blæst – det går ikke
102448	N1359	pluss	kultur	Slik bor Trondheims «Anno»-deltagere
102500	N1360	No category	No subcategory	Send inn dine sommerbilder
103253	N1373	pluss	okonomi	Gobi-gründerne flytter tilbake til Trondheim i frykt for at de skal miste ansatte til Apple og Microsoft
103594	N1378	No category	No subcategory	Jo, støtfangeren kan repareres!
109904	N1395	No category	No subcategory	Lanserer ny Tesla-konkurrent: 1000 hestekrefter og rekkevidde på 60 mil
